date,Minimum,Mean,Maximum,25th Percentile,75th Percentile,Skewness,Standard Deviation,Kurtosis,Shannon Entropy,Median,Mean Absolute Deviation (MAD),Coefficient of Variation (CV),10th Percentile,90th Percentile,Autocorrelation,Cumulative Return,start_price,start_date,end_price,end_date,percent_change,prev_day_to_avg_one_month,prev_day_to_avg_one_two_week,prev_day_to_avg_one_one_week,momentum,rsi,upper_band_current,middle_band_current,lower_band_current,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,ema_7,ema_14,roc_7,roc_14,Volume,Volatility,Relative Volume (RVOL),On-Balance Volume (OBV),Williams %R,Stochastic Oscillator %K,Stochastic Oscillator %D,Commodity Channel Index (CCI),ADX,Chaikin Money Flow (CMF),Average True Range (ATR),Fib_23.6,Fib_38.2,Fib_50,Fib_61.8,Fib_76.4,Parabolic SAR,VWAP,Adj Close Momentum,Adj Close Return,Adj Close 7d MA,Adj Close 14d MA,Adj Close Volatility
2023-10-17,169.9199981689453,175.39100036621093,180.54000091552734,172.53312492370605,177.90812587738037,0.00019062345033938022,3.059317729444627,-1.1698517309413932,2.9955801332039376,175.24874877929688,2.635100708007812,0.017442843264801885,171.62250289916992,178.9847526550293,0.8511637253363411,-0.003210238641806745,176.75499725341797,2023-10-17,,,,1.0135354665774223,1.0143705607525249,0.9962251822803909,0.0005769202814867036,54.7595576167797,181.50963582510022,175.39100036621093,169.27236490732164,178.4385724748884,1.6505183333195703,175.24660737173897,3.6098575737326746,178.04813067862318,176.812955628464,2.0421065770039712,2.511386676413895,52517000,1.4758737680388796,0.8894296526636383,601747400.0,-24.59235609366754,74.39412375077826,79.13399127611018,65.29786626665127,"ADX_14    18.179562
DMP_14    21.853485
DMN_14    21.204189
Name: 470, dtype: float64",0.04867316606412515,3.2946817248914315,178.86607604980472,176.71695587158206,174.97999572753906,173.2430355834961,171.09391540527344,"PSARl_0.02_0.2     172.210049
PSARs_0.02_0.2            NaN
PSARaf_0.02_0.2      0.100000
PSARr_0.02_0.2       0.000000
Name: 470, dtype: float64",159.9725162210923,-0.0015084097442035205,-0.0015084097442035602,178.08159964425224,174.81971740722656,3.956639685377517
2023-10-18,169.9199981689453,175.31187496185302,180.54000091552734,172.53312492370605,177.68812656402588,0.036705007282640076,3.0020149795257507,-1.0706346020439494,2.9955856772615412,175.24874877929688,2.551875114440918,0.017123854160928768,171.62250289916992,178.9847526550293,0.8658320659143329,-0.003986760396639528,176.0275001525879,2023-10-18,,,,1.0082317429545429,1.0063635421997414,0.9896617191549646,-0.009997780065845951,51.41800654792918,181.31590492090453,175.31187496185302,169.3078450028015,178.6014289855957,1.355327905842335,175.63732174464636,3.4401207455461016,177.727004553407,176.57126564935857,0.6491447564590113,3.193508682837797,57549400,1.4802424366850375,0.9880544601380681,544198000.0,-35.258165835657174,74.39412375077826,79.13399127611018,36.10480119040915,"ADX_14    17.388556
DMP_14    20.021099
DMN_14    23.083914
Name: 471, dtype: float64",0.03778712375203618,3.3393471851809946,178.86607604980472,176.71695587158206,174.97999572753906,173.2430355834961,171.09391540527344,"PSARl_0.02_0.2     173.223044
PSARs_0.02_0.2            NaN
PSARaf_0.02_0.2      0.100000
PSARr_0.02_0.2       0.000000
Name: 471, dtype: float64",159.99896571336748,-0.006951069802407228,-0.006951069802407215,178.03327287946428,175.29727390834265,3.1042014006010152
2023-10-19,169.9199981689453,175.24012508392335,180.54000091552734,172.53312492370605,177.68812656402588,0.09225508534086548,2.966697313933172,-0.9853306922893115,2.99558903333853,175.24874877929688,2.4801252365112303,0.016929326616905837,171.62250289916992,178.9847526550293,0.8997609112936048,0.007829499063153944,176.13249969482422,2023-10-19,,,,1.0044931209007495,0.9997383381659518,0.9868790423604399,-0.01585018017079609,51.24052861650585,181.17351971178968,175.24012508392335,169.306730456057,178.3678572518485,1.6524284354628964,176.0735718863351,3.02104988610312,177.29568428782824,176.26554320935546,-0.9202854373696231,3.59433971837153,54764400,1.3423156455598222,0.9444743703254129,489433600.0,-54.16666666666677,74.39412375077826,79.13399127611018,21.473775934802774,"ADX_14    16.654050
DMP_14    18.943276
DMN_14    21.841207
Name: 472, dtype: float64",0.06923444251554697,3.277251044861147,179.50799633789066,177.75599633789065,176.33999633789062,174.92399633789063,173.17199633789062,"PSARl_0.02_0.2     174.134739
PSARs_0.02_0.2            NaN
PSARaf_0.02_0.2      0.100000
PSARr_0.02_0.2       0.000000
Name: 472, dtype: float64",160.02314153255543,-0.02202444465049036,-0.02202444465049039,177.58556474958147,175.6632581438337,2.8358705642036903
2023-10-20,169.9199981689453,175.31375007629396,180.54000091552734,172.53312492370605,177.68812656402588,0.019316505141866953,2.969656827110481,-0.9986189443855227,2.9955888089508576,175.48250007629395,2.488375205993651,0.016939098192914875,171.62250289916992,178.9847526550293,0.9013359103529464,0.005623834856337299,174.0625,2023-10-20,,,,1.0046701962519993,0.9985229791384049,0.9893754237024073,-0.024412879131231136,51.178875194856005,181.25306373051492,175.31375007629396,169.374436422073,178.02392850603377,1.849427816802424,176.39303588867188,2.742019720513182,177.00076668006056,176.0952984076278,-1.3484380017686828,2.605438621286748,59302900,1.3387964640682883,1.0231255436490423,548736500.0,-59.7221891084992,74.39412375077826,79.13399127611018,19.209260321122358,"ADX_14    15.859224
DMP_14    18.408517
DMN_14    20.562232
Name: 473, dtype: float64",0.08090129388451205,3.2324469628342345,179.6212789306641,177.939360534668,176.5800018310547,175.2206431274414,173.5387247314453,"PSARl_0.02_0.2     174.800003
PSARs_0.02_0.2            NaN
PSARaf_0.02_0.2      0.100000
PSARr_0.02_0.2       0.000000
Name: 473, dtype: float64",160.04921798583848,-0.02905212532456436,-0.029052125324564332,177.16912623814173,175.9652829851423,2.8209102728633257
2023-10-23,169.9199981689453,175.2595001220703,180.54000091552734,172.53312492370605,177.68812656402588,0.06997308429153877,2.9820828260341505,-1.0271138447870425,2.9955875580088183,175.48250007629395,2.548050155639649,0.01701524210645982,171.62250289916992,178.9847526550293,0.8881369773055205,-0.0073424493032494,171.96249771118164,2023-10-23,,,,0.9931701270331332,0.986183813874026,0.9815284381496173,-0.03344253610844994,42.50112598243277,181.2236657741386,175.2595001220703,169.29533447000202,177.33821378435408,2.317346732808851,176.50107165745325,2.6053465819930173,176.25932737424915,175.62995286069264,-2.683627350540222,0.8765579655908778,64189300,1.4190963745243115,1.1038091650485944,484547200.0,-82.11805969477099,74.39412375077826,79.13399127611018,-42.79271299526242,"ADX_14    16.030371
DMP_14    17.250844
DMN_14    24.955779
Name: 474, dtype: float64",0.05796349970129171,3.202986988647414,179.6212789306641,177.939360534668,176.5800018310547,175.2206431274414,173.5387247314453,"PSARl_0.02_0.2            NaN
PSARs_0.02_0.2     182.339996
PSARaf_0.02_0.2      0.020000
PSARr_0.02_0.2       1.000000
Name: 474, dtype: float64",160.0729549479492,-0.03337991991041933,-0.03337991991041931,176.18559047154017,175.90345873151506,2.8379375726521143
2023-10-24,169.9199981689453,175.09012508392334,180.54000091552734,172.4312515258789,177.68812656402588,0.16804212360101337,3.0671210972285765,-1.1514069830167393,2.9955789802637818,174.9112491607666,2.708375358581543,0.017517384808300635,171.62250289916992,178.9847526550293,0.8628677584987058,-0.00834730361777865,172.9025001525879,2023-10-24,,,,0.9821370430157464,0.974410072940109,0.9764335292579567,-0.03264141815537103,37.27565965905149,181.22436727838047,175.09012508392334,168.9558828894662,176.11285618373327,2.593483789570317,176.4785714830671,2.645675864778601,175.1746031263973,174.9742223094274,-4.75102645444154,-0.18284595558169187,55980100,1.4306099717382883,0.9613226484635505,428567100.0,-75.26183385753392,74.39412375077826,79.13399127611018,-68.65920683548676,"ADX_14    16.969376
DMP_14    15.711359
DMN_14    28.656247
Name: 475, dtype: float64",0.06778415998129349,3.2656309059622193,179.41123547363284,177.59937493896487,176.13499450683594,174.67061407470703,172.85875354003906,"PSARl_0.02_0.2            NaN
PSARs_0.02_0.2     182.145996
PSARaf_0.02_0.2      0.040000
PSARr_0.02_0.2       0.000000
Name: 475, dtype: float64",160.09156179218277,-0.0320053308321101,-0.03200533083211011,175.0897696358817,175.94609832763672,2.7933741537370222
2023-10-25,169.9199981689453,175.06474990844725,180.54000091552734,172.4312515258789,177.68812656402588,0.18038434609977838,3.082974646010294,-1.1753405427707173,2.9955773586434162,174.9112491607666,2.7337505340576174,0.01761048210803478,171.62250289916992,178.9847526550293,0.8571071304275051,0.009443349723195306,171.67250061035156,2023-10-25,,,,0.987648857025814,0.979569993841871,0.9875245595702,-0.021795689857111444,43.44575653476097,181.23069920046785,175.06474990844725,168.89880061642666,175.08678490774972,2.141481565786218,176.50857135227747,2.5988447875257004,174.5958208559998,174.669944225617,-3.9883937964847718,0.2435018996797386,43816600,1.3616316956897039,0.7524075561592531,472383700.0,-71.71628743074535,74.39412375077826,79.13399127611018,-55.50563568142817,"ADX_14    17.841309
DMP_14    14.930595
DMN_14    27.232196
Name: 476, dtype: float64",0.15205248075057398,3.1909430713008553,179.41123547363284,177.59937493896487,176.13499450683594,174.67061407470703,172.85875354003906,"PSARl_0.02_0.2            NaN
PSARs_0.02_0.2     181.657356
PSARaf_0.02_0.2      0.040000
PSARr_0.02_0.2       0.000000
Name: 476, dtype: float64",160.1067280189759,-0.020942642267117617,-0.020942642267117645,174.32084437779017,175.93046351841517,2.8135125505301852
2023-10-26,169.9199981689453,175.0841251373291,180.54000091552734,172.4312515258789,177.68812656402588,0.19153596038035667,3.0602937874351053,-1.1665996886840788,2.9955796722649626,174.9112491607666,2.714375305175781,0.017478990656832716,171.67125091552734,178.9847526550293,0.8042754133295091,0.010313691503596888,168.57749938964844,2023-10-26,,,,0.9805143697391092,0.9736002631962396,0.9853978906638252,-0.024740449864147585,40.37679101889056,181.2047127121993,175.0841251373291,168.9635375624589,174.21642793927873,2.1094041601069935,176.32750020708357,2.847881071337584,173.8585402788665,174.35062679103444,-3.4272769106490664,-1.4551589808495986,57157000,1.354379093309465,0.9769445061951207,415226700.0,-90.57201383987746,74.39412375077826,79.13399127611018,-87.58203258971612,"ADX_14    18.872233
DMP_14    13.989679
DMN_14    27.323048
Name: 477, dtype: float64",0.13907896311114532,3.1623048908452143,179.41123547363284,177.59937493896487,176.13499450683594,174.67061407470703,172.85875354003906,"PSARl_0.02_0.2            NaN
PSARs_0.02_0.2     181.188262
PSARaf_0.02_0.2      0.040000
PSARr_0.02_0.2       0.000000
Name: 477, dtype: float64",160.12452286413523,-0.026956309982693716,-0.026956309982693688,173.2378147670201,175.65970720563615,2.9133767370468533
2023-10-27,168.57749938964844,175.01700019836426,180.54000091552734,172.4312515258789,177.68812656402588,0.019972697067554532,3.1850103409129584,-0.9130041408505192,2.995566685595183,174.9112491607666,2.781500244140625,0.018198291236297435,171.67125091552734,178.9847526550293,0.7675979316890733,-0.01795703254514925,167.7300033569336,2023-10-27,,,,0.9632064267961553,0.9587810070168805,0.9741649193203592,-0.04289384593000123,29.971482690718663,181.38702088019016,175.01700019836426,168.64697951653835,173.04821395874023,2.6613790021631254,175.82482147216797,3.524123475568945,172.53492434470252,173.74369345616404,-4.626459218035715,-4.0073468790002975,70625300,1.4701499089954586,1.1974633721883468,344601400.0,-92.68145558062584,74.39412375077826,79.13399127611018,-166.56527752507546,"ADX_14    20.926377
DMP_14    12.283544
DMN_14    34.627299
Name: 478, dtype: float64",0.078780663034539,3.344283592489641,178.40587677001955,175.97205703735352,174.00499725341797,172.03793746948244,169.60411773681642,"PSARl_0.02_0.2            NaN
PSARs_0.02_0.2     180.737931
PSARaf_0.02_0.2      0.060000
PSARr_0.02_0.2       0.000000
Name: 478, dtype: float64",160.1395182723849,-0.04884311350865633,-0.04884311350865638,171.7795628138951,174.9064178466797,3.286999819061318
2023-10-30,167.7300033569336,174.82050018310548,180.54000091552734,172.4312515258789,177.68812656402588,-0.2256516895355247,3.4924523585663176,-0.7212461458626769,2.9955323957135196,174.9112491607666,2.978000259399414,0.019977361664726696,171.36300048828124,178.9847526550293,0.8013440350390996,-0.027933908440677103,169.83749771118164,2023-10-30,,,,0.9594412736564341,0.9578257782683625,0.9759526055700757,-0.03638059112713199,27.0777681059523,181.80540490023813,174.82050018310548,167.83559546597283,171.86285727364677,2.945882823053702,175.11535726274764,4.081431296421251,171.32876869787617,173.07391242541289,-4.7137502881434346,-5.590655768057306,58499100,1.4558226539106554,0.9944122689991507,286102300.0,-84.70303940099868,74.39412375077826,79.13399127611018,-152.42545072699616,"ADX_14    22.833797
DMP_14    11.709844
DMN_14    33.010038
Name: 479, dtype: float64",0.11232116983249696,3.257549398941274,178.40587677001955,175.97205703735352,174.00499725341797,172.03793746948244,169.60411773681642,"PSARl_0.02_0.2            NaN
PSARs_0.02_0.2     179.833855
PSARaf_0.02_0.2      0.060000
PSARr_0.02_0.2       0.000000
Name: 479, dtype: float64",160.1519325623551,-0.02695529100660532,-0.026955291006605285,170.69653102329798,174.14104788643974,3.510250799613626
