Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,335.1300048828125,339.2799987792969,329.3900146484375,330.0799865722656,322.3797302246094,33337600
2021-12-02,330.29998779296875,333.489990234375,327.79998779296875,329.489990234375,321.8035583496094,30766000
2021-12-03,331.989990234375,332.70001220703125,318.0299987792969,323.010009765625,315.4747314453125,41779300
2021-12-06,323.95001220703125,327.45001220703125,319.2300109863281,326.19000244140625,318.5805358886719,30032600
2021-12-07,331.6400146484375,335.79998779296875,330.1000061035156,334.9200134277344,327.1069030761719,31021900
2021-12-08,335.30999755859375,335.5,330.79998779296875,334.9700012207031,327.1556701660156,24761000
2021-12-09,334.4100036621094,336.489990234375,332.1199951171875,333.1000061035156,325.3293151855469,22214200
2021-12-10,334.9800109863281,343.0,334.7900085449219,342.5400085449219,334.54913330078125,38095700
2021-12-13,340.67999267578125,343.7900085449219,339.0799865722656,339.3999938964844,331.4823913574219,28899400
2021-12-14,333.2200012207031,334.6400146484375,324.1099853515625,328.3399963378906,320.68035888671875,44438700
2021-12-15,328.6099853515625,335.19000244140625,324.5,334.6499938964844,326.8431091308594,35381100
2021-12-16,335.7099914550781,336.760009765625,323.0199890136719,324.8999938964844,317.3205871582031,35034800
2021-12-17,320.8800048828125,324.9200134277344,317.25,323.79998779296875,316.2462158203125,47750300
2021-12-20,320.04998779296875,322.79998779296875,317.57000732421875,319.9100036621094,312.4470520019531,28326500
2021-12-21,323.2900085449219,327.7300109863281,319.79998779296875,327.2900085449219,319.65484619140625,24740600
2021-12-22,328.29998779296875,333.6099853515625,325.75,333.20001220703125,325.427001953125,24831500
2021-12-23,332.75,336.3900146484375,332.7300109863281,334.69000244140625,326.88226318359375,19617800
2021-12-27,335.4599914550781,342.4800109863281,335.42999267578125,342.45001220703125,334.46124267578125,19947000
2021-12-28,343.1499938964844,343.80999755859375,340.32000732421875,341.25,333.2891845703125,15661500
2021-12-29,341.29998779296875,344.29998779296875,339.67999267578125,341.95001220703125,333.9728698730469,15042000
2021-12-30,341.9100036621094,343.1300048828125,338.82000732421875,339.32000732421875,331.4042053222656,15994500
2021-12-31,338.510009765625,339.3599853515625,335.8500061035156,336.32000732421875,328.47418212890625,18000800
2022-01-03,335.3500061035156,338.0,329.7799987792969,334.75,326.94085693359375,28865100
2022-01-04,334.8299865722656,335.20001220703125,326.1199951171875,329.010009765625,321.3347473144531,32674300
2022-01-05,325.8599853515625,326.07000732421875,315.9800109863281,316.3800048828125,308.9993591308594,40054300
2022-01-06,313.1499938964844,318.70001220703125,311.489990234375,313.8800048828125,306.5577087402344,39646100
2022-01-07,314.1499938964844,316.5,310.0899963378906,314.0400085449219,306.7139587402344,32720000
2022-01-10,309.489990234375,314.7200012207031,304.69000244140625,314.2699890136719,306.9385986328125,44289500
2022-01-11,313.3800048828125,316.6099853515625,309.8900146484375,314.9800109863281,307.63201904296875,29386800
2022-01-12,319.6700134277344,323.4100036621094,317.0799865722656,318.2699890136719,310.84527587890625,34372200
2022-01-13,320.4700012207031,320.8800048828125,304.0,304.79998779296875,297.689453125,45366000
2022-01-14,304.25,310.82000732421875,303.75,310.20001220703125,302.96356201171875,39846400
2022-01-18,304.07000732421875,309.79998779296875,301.739990234375,302.6499938964844,295.58966064453125,42333200
2022-01-19,306.2900085449219,313.9100036621094,302.70001220703125,303.3299865722656,296.2537536621094,45933900
2022-01-20,309.07000732421875,311.6499938964844,301.1400146484375,301.6000061035156,294.5641784667969,35380700
2022-01-21,302.69000244140625,304.1099853515625,295.6099853515625,296.0299987792969,289.12408447265625,57984400
2022-01-24,292.20001220703125,297.1099853515625,276.04998779296875,296.3699951171875,289.4561462402344,85731500
2022-01-25,291.5199890136719,294.989990234375,285.1700134277344,288.489990234375,281.7600402832031,72848600
2022-01-26,307.989990234375,308.5,293.0299987792969,296.7099914550781,289.7882385253906,90428900
2022-01-27,302.6600036621094,307.29998779296875,297.92999267578125,299.8399963378906,292.8451843261719,53481300
2022-01-28,300.2300109863281,308.4800109863281,294.45001220703125,308.260009765625,301.06884765625,49743700
2022-01-31,308.95001220703125,312.3800048828125,306.3699951171875,310.9800109863281,303.725341796875,46444500
2022-02-01,310.4100036621094,310.6300048828125,305.1300048828125,308.760009765625,301.5571594238281,40950400
2022-02-02,309.6300048828125,315.1199951171875,308.8800048828125,313.4599914550781,306.1474609375,36636000
2022-02-03,309.489990234375,311.2300109863281,299.9599914550781,301.25,294.2222900390625,43730000
2022-02-04,300.2099914550781,308.79998779296875,299.9700012207031,305.94000244140625,298.8028869628906,35096500
2022-02-07,306.1700134277344,307.8399963378906,299.8999938964844,300.95001220703125,293.9293212890625,28533300
2022-02-08,301.25,305.55999755859375,299.95001220703125,304.55999755859375,297.4551086425781,32421200
2022-02-09,309.8699951171875,311.92999267578125,307.3900146484375,311.2099914550781,303.95001220703125,31284700
2022-02-10,304.0400085449219,309.1199951171875,300.70001220703125,302.3800048828125,295.3259582519531,45386200
2022-02-11,303.19000244140625,304.2900085449219,294.2200012207031,295.0400085449219,288.1572265625,39175600
2022-02-14,293.7699890136719,296.760009765625,291.3500061035156,295.0,288.1180725097656,36359500
2022-02-15,300.010009765625,300.79998779296875,297.0199890136719,300.4700012207031,293.4605407714844,27058300
2022-02-16,298.3699951171875,300.8699951171875,293.67999267578125,299.5,293.11798095703125,29982100
2022-02-17,296.3599853515625,296.79998779296875,290.0,290.7300109863281,284.53485107421875,32461600
2022-02-18,293.04998779296875,293.8599853515625,286.30999755859375,287.92999267578125,281.79449462890625,34264000
2022-02-22,285.0,291.5400085449219,284.5,287.7200012207031,281.5889892578125,41736100
2022-02-23,290.17999267578125,291.70001220703125,280.1000061035156,280.2699890136719,274.2977600097656,37811200
2022-02-24,272.510009765625,295.1600036621094,271.5199890136719,294.5899963378906,288.3126220703125,56989700
2022-02-25,295.1400146484375,297.6300048828125,291.6499938964844,297.30999755859375,290.9746398925781,32546700
