date,buy?,todays_price,Minimum,Maximum,25th Percentile,75th Percentile,Skewness,Standard Deviation,Kurtosis,Shannon Entropy,Median,Mean Absolute Deviation (MAD),Coefficient of Variation (CV),10th Percentile,90th Percentile,Autocorrelation,Cumulative Return,curr_to_avg_one_month,curr_to_avg_one_two_week,curr_to_avg_one_one_week,momentum,rsi,upper_band_current,middle_band_current,lower_band_current,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,ema_7,ema_14,roc_7,roc_14,Volume,Volatility,Relative Volume (RVOL),On-Balance Volume (OBV),Williams %R,Stochastic Oscillator %K,Stochastic Oscillator %D,Commodity Channel Index (CCI),ADX1,ADX2,Chaikin Money Flow (CMF),Average True Range (ATR),Fib_23.6,Fib_38.2,Fib_50,Fib_61.8,Fib_76.4,Parabolic SAR 2,Parabolic SAR 3,VWAP,Adj Close Momentum,Adj Close Return,Adj Close 7d MA,Adj Close 14d MA,Adj Close Volatility
2024-01-02,0,170.5625,156.58500289916992,170.1050033569336,157.83249855041504,167.59249782562256,-0.04128694200949815,4.859439843549127,-1.6390035035018493,2.995288152491227,163.54375076293945,4.50149974822998,0.0297942813141939,156.9600036621094,168.69799880981446,0.8815948943818648,0.08634288218821078,1.0457557393982837,1.0176684238474238,1.0103874769659822,0.01773676070805741,92.13022245560302,172.8186300151622,163.09975032806398,153.38087064096575,168.80499976021903,1.3690119109874281,166.4523217337472,3.334638205555163,168.22742594163168,165.39117944839805,1.7876661907354336,7.739813893220127,9977400,0.750628207169606,1.0738825697236885,144535000.0,-0.6771736896551328,95.95456447167889,96.5727530047212,105.2644798115902,40.264026314702086,3.360750357511903,0.38049840301090226,2.1142322487999143,169.03355975341796,167.09322073364257,165.5250015258789,163.95678231811524,162.01644329833985,0.2,0.0,163.3151383921051,0.027956992439049477,0.027343284666870554,166.3746119907924,164.0485098702567,5.065401900344722
2024-01-03,0,171.39999771118164,156.7349967956543,170.5625,158.54687595367432,167.68750190734863,-0.17538086987645427,4.877321443194868,-1.5670501999910784,2.995288092607786,165.11124992370605,4.4790123748779305,0.02977632710740191,157.53174934387206,169.8552532196045,0.8817161588842514,0.08648912438916186,1.0464068151950534,1.0186736887675885,1.0117854505292023,0.02054180966103014,92.45744757847736,173.55326806949518,163.79862518310546,154.04398229671574,169.4296428135463,1.4194133186621904,167.2794644492013,2.9803335700093507,168.80816115557218,166.04378709232753,1.7676000421983808,7.429101064710605,9852300,0.7494810395402424,1.0590227018660245,154387300.0,-6.7741673496208685,95.95456447167889,96.5727530047212,99.39692185215758,37.26419765307661,3.1103612094362907,0.33914494393675,2.0776411280481573,169.243599609375,167.43320050048828,165.97000122070312,164.50680194091797,162.69640283203125,0.2,0.0,163.6971016588637,0.017459528660227264,0.023476783083714956,166.91227068219865,164.80726623535156,5.083106786136438
2024-01-04,0,171.48500061035156,156.7349967956543,171.39999771118164,159.55687522888184,168.1056251525879,-0.296333425867142,4.882269575253795,-1.4249687876759407,2.99529054882526,166.62749862670898,4.426687622070313,0.029675955064757488,157.66674919128417,170.15075302124023,0.8796082176726395,0.08704612995422242,1.0423392428362914,1.0160553798610017,1.0081807951938702,0.01727744630837158,93.03716402494292,174.2839139979197,164.5193748474121,154.7548356969045,169.98607199532645,1.3392353223832663,168.03946440560478,2.536940385315803,169.45186517989202,166.73632699598807,2.617833272460483,7.245650130440115,11972500,0.7499497029223988,1.2675958664040246,166359800.0,-16.666688514876665,95.95456447167889,96.5727530047212,99.52364934267543,38.35398611534237,2.7480372651499456,0.29506172628166194,2.1426944841940228,170.60296624755858,168.90352633666993,167.5300064086914,166.15648648071289,164.45704656982423,0.2,0.0,164.14323306646068,0.018104974809616925,0.02421147593122604,167.62357439313615,165.60792432512557,5.082391855623336
2024-01-05,0,172.14750289916992,156.7349967956543,171.48500061035156,160.5887508392334,168.88624954223633,-0.44444329360048757,4.841847694765981,-1.2260937072127036,2.995300840637544,167.0724983215332,4.294650115966794,0.02930725355990702,157.85574836730956,170.64624977111816,0.8741627032228473,0.08815458818576562,1.0419928166316779,1.0173480781967852,1.0086216100341459,0.013660918585328696,93.34039620241484,174.89357030560865,165.20987491607667,155.5261795265447,170.5857151576451,1.2090286408408966,168.68625014168876,2.324050985867573,169.95110642138096,167.36033241295917,2.324126951233969,6.615063762565295,10064200,0.7413718010599644,1.0616295119544343,176424000.0,-10.100091497151647,95.95456447167889,96.5727530047212,104.02131609618031,35.376589844239504,2.5258888016754315,0.32524737028673234,2.1276172010686887,170.78636358642578,169.18182278442382,167.88500213623047,166.58818148803712,164.98364068603516,0.2,0.0,164.5087302481652,0.0178055966829338,0.023213083269519406,168.31737409319197,166.26365988595145,4.875579243120746
2024-01-08,0,171.47250366210938,156.7349967956543,172.14750289916992,162.5306272506714,169.89687824249268,-0.5745088217988888,4.7348898485727915,-0.9538672230961143,2.9953228347576633,167.3537483215332,4.042337646484379,0.028534154596280493,158.67925148010255,171.40849800109862,0.8399188464425288,0.09833480982942132,1.0333551750904437,1.0106429439378837,1.0019428698422537,0.008039153923687481,96.33374575793349,175.40740481921586,165.9376251220703,156.46784542492475,171.00000163487024,0.8467998929504947,169.22035762241907,1.9995643440281892,170.49374229851912,168.01710556504565,2.499256991463323,5.552064111565868,11229900,0.6408137592563719,1.1655434070185435,165194100.0,-17.369096964417604,95.95456447167889,96.5727530047212,83.31395473627163,31.394804653219634,10.006651811250157,0.3601213465681889,2.19141873454215,171.5321244506836,170.38894418334962,169.46500396728516,168.5410637512207,167.39788348388672,0.02,1.0,164.8289012291971,0.01752345609340833,0.016328567096204876,168.8340802873884,166.81470598493303,4.539872708127386
2024-01-09,0,171.04249954223633,157.8849983215332,172.14750289916992,163.7693748474121,170.2193775177002,-0.6708886193115262,4.378758068615137,-0.7694494326566832,2.9953850647683837,167.5949993133545,3.608899974822998,0.02627131358659333,159.71474990844726,171.4737533569336,0.8439072755754319,0.08605950840817177,1.0262067626700353,1.0054743519422253,0.9978356346949773,0.0028142149783001447,87.90391052884496,175.43201660262332,166.67450046539307,157.9169843281628,171.1735725402832,0.6731252781259354,169.56428609575545,1.8539841327422986,170.73462936401646,168.5336547313525,1.7203312340099128,4.5595931454778,9923600,0.7152788284818685,1.0164732875642428,155270500.0,-34.73819392883521,95.95456447167889,96.5727530047212,72.38161073843266,29.039960240399342,9.25607832085757,0.3114353870093208,2.168425981650055,171.5321244506836,170.38894418334962,169.46500396728516,168.5410637512207,167.39788348388672,0.02,0.0,165.07005170120556,-0.0021364540457542436,0.009478836957157774,169.0323486328125,167.1995141165597,4.159911407847335
2024-01-10,0,170.26250076293945,158.7675018310547,172.14750289916992,165.6693754196167,170.68249988555908,-0.7895573262782709,3.978935288170628,-0.48904604897467596,2.9954477241786805,167.7750015258789,3.1766502380371096,0.0237786338456792,160.74250106811525,171.4737533569336,0.8326705753301351,0.0773142965003224,1.0175108088156464,0.9988618782915615,0.9927292650515823,-0.006636505037525886,82.5090016505665,175.2902461027695,167.33237552642822,159.37450495008696,171.1960721697126,0.6328841245848676,169.7889289855957,1.7204334016370573,170.80967936587314,168.934746972944,0.7154296653756225,2.896631784866841,9670200,0.7578886259639219,0.9825851310611395,145600300.0,-30.649309986762525,95.95456447167889,96.5727530047212,55.90794333529384,26.651638586771373,12.935187435863988,0.32848452242210513,2.1652138984396014,171.56280200195312,170.43860021972657,169.52999877929688,168.62139733886718,167.49719555664063,0.04,0.0,165.26837827856653,0.004345810507254466,-3.149275477142306e-05,169.30953979492188,167.45392499651228,3.716509640787873
2024-01-11,0,169.90750122070312,159.81999969482422,172.14750289916992,166.8274974822998,170.68249988555908,-0.894186211067844,3.501859099183793,-0.15484832649389846,2.995513390834345,168.26124954223633,2.7849130630493164,0.02085592906982637,162.86775245666504,171.4737533569336,0.8179611047830676,0.06533913833096706,1.0119135846203386,0.9954287886402312,0.9919752206147858,-0.009199051719006257,73.30058284537927,174.91084367139007,167.90712547302246,160.90340727465485,171.10250091552734,0.7747006120686788,169.95375033787317,1.600983312261838,170.6745774128214,169.1889643227363,0.09258834419783672,1.8819097054590568,11919500,0.8145128838448897,1.2007859836607677,133680800.0,-39.99996036684449,95.95456447167889,96.5727530047212,34.67389737069426,24.251595456763322,12.94328254439946,0.33759778481882335,2.1829548983693248,171.56280200195312,170.43860021972657,169.52999877929688,168.62139733886718,167.49719555664063,0.06,0.0,165.4674296772187,-0.006475742189381628,0.00011736860494044789,169.2070792061942,167.7908455984933,3.2595957155021558
2024-01-12,0,172.01499938964844,160.84500122070312,172.14750289916992,167.0949993133545,170.68249988555908,-0.9432309606409827,2.989752150584614,0.15320587881912662,2.995573788885723,169.20000076293945,2.4258505249023443,0.017752660244892936,163.9047492980957,171.4737533569336,0.7848946700344318,0.0563430627698831,1.0213969879050915,1.006988287953563,1.0061327673099552,-0.0007697091580765036,68.65873073545332,174.39100485048561,168.4115005493164,162.4319962481472,171.19035829816545,0.8456834429519288,170.31000055585588,1.4472760751862208,170.48988040861235,169.35572774078963,-0.38402273612128984,1.3767893200313597,19429200,0.8302590017395955,1.8901985811738977,153110000.0,-79.5179695960852,95.95456447167889,96.5727530047212,76.34740737402805,37.2493417573558,9.941536748336308,0.2268108687199175,2.6099228502501304,174.15531640625,172.82233569335938,171.7449951171875,170.66765454101562,169.334673828125,0.02,1.0,165.86790130726678,-0.018691678370223452,-0.013768188687416352,169.03334481375558,167.97280774797713,2.6797782508441395
2024-01-16,0,166.3125,163.09250259399414,172.14750289916992,167.4718723297119,171.13187408447266,-0.7466941444299241,2.5324613253331574,-0.28984093316396065,2.995619528348549,169.8675022125244,2.1557507324218763,0.014987638743400374,166.00425071716307,171.53800048828126,0.763668628840263,0.05470819721165323,0.9842723533730005,0.9723602613995416,0.972929092718245,-0.03009230956513753,74.68422911389194,174.03492310842995,168.97000045776366,163.90507780709737,170.45142963954382,2.007305883567253,170.21875081743514,1.6570344463514168,170.8794370223401,169.79473503617012,0.35881078569388797,2.9860371262874423,17206400,0.8149937152089632,1.6454290820868904,135903600.0,-69.27556928268413,95.95456447167889,96.5727530047212,-85.37651563757642,32.10875374468283,21.934205851093,0.27107344597314503,2.78295899234777,173.47563885498047,171.72217965698243,170.30500030517578,168.88782095336913,167.1343617553711,0.02,1.0,165.91993850209855,-0.02342755421006426,-0.02484474664908886,168.55028424944197,168.08692932128906,2.3575650882289194
2024-01-17,0,167.49750137329102,163.99499893188477,172.14750289916992,167.4718723297119,171.13187408447266,-0.47568806043194517,2.2390412643118927,-0.7338204491960885,2.9956444547647,169.8675022125244,1.9786508750915517,0.013238503053661461,166.30400009155272,171.53800048828126,0.5869163582754513,0.014131535005392494,0.99034181225438,0.9814646941619818,0.9858129175364508,-0.020725832342446182,41.507458624034,173.60908285668776,169.13100032806398,164.6529177994402,169.7871437072754,2.118795198640894,170.18642943246024,1.7083115225194117,169.74315844005434,169.37240858739375,-3.016299146830063,-0.7622748169974118,11107500,1.5932663517879941,1.1110644312340392,147011100.0,-76.76940414464983,95.95456447167889,96.5727530047212,-71.14431918384716,32.5476708637645,20.295835016279284,0.15578535888660247,2.7667021175302353,173.47563885498047,171.72217965698243,170.30500030517578,168.88782095336913,167.1343617553711,0.02,0.0,165.9770356757237,-0.020918884183899866,-0.02865957520489645,167.8186274937221,168.06800079345703,2.1488238618347486
2024-01-18,1,166.82749938964844,166.22750091552734,172.14750289916992,167.56687259674072,171.13187408447266,-0.10593320752886967,1.9486219232051503,-1.4484492579436263,2.9956660105390847,169.8675022125244,1.7860132408142078,0.011509459082028769,166.95599670410155,171.53800048828126,0.6202172253222638,0.007640134458912754,0.9853600922359075,0.9792975443074204,0.985983952907708,-0.02017473817134663,44.44645417169597,173.2033692965446,169.3061254501343,165.40888160372398,169.1235716683524,2.2275741632368593,170.06178665161133,1.8892082842348512,169.18667381004911,169.19132613181165,-2.7011728009801574,-0.2694250595968368,9382300,1.5363902254726838,0.9342310241013342,137628800.0,-74.0216774003382,95.95456447167889,96.5727530047212,-105.22846904124931,30.37867837728284,22.580902360954056,0.20573541823650687,2.7288459934098057,173.47563885498047,171.72217965698243,170.30500030517578,168.88782095336913,167.1343617553711,0.02,0.0,165.99867354868326,-0.021050275841002608,-0.018985212653227394,167.16889299665178,168.0014866420201,2.0039318336185015
2024-01-19,0,168.87750244140625,166.3125,172.14750289916992,167.56687259674072,171.13187408447266,-0.059718310043155,1.9051273737745618,-1.497260166082287,2.9956689697470833,169.8675022125244,1.7530133247375488,0.011250566703168896,167.00749664306642,171.53800048828126,0.6156051808253443,-0.0017353114724536253,0.9972916415122787,0.9939993146536263,1.0021689978526889,-0.006062114808921493,41.030787195879576,173.14638012138946,169.33612537384033,165.5258706262912,168.8142863682338,2.0607920814384806,169.9939294542585,1.9151537235649891,168.59492233657465,168.91893818559117,-2.708891614257892,-1.0351622887835328,13114400,1.5318834384213935,1.2880945739418774,150743200.0,-49.958390876739166,95.95456447167889,96.5727530047212,-7.023657629154872,35.97148634222628,20.354631688543193,0.2076347659058847,2.7888120485651986,173.47563885498047,171.72217965698243,170.30500030517578,168.88782095336913,167.1343617553711,0.02,0.0,166.12693236574913,5.8813347820763084e-05,-0.004151579673087691,167.1194566999163,168.07590266636439,1.9870277212038807
2024-01-22,0,170.56500244140625,166.3125,172.14750289916992,167.59750080108643,171.13187408447266,-0.1229885523750744,1.8401543906554967,-1.3691773642583214,2.995673262237682,169.8675022125244,1.6562132072448719,0.010861229977932754,167.00749664306642,171.53800048828126,0.6147044345512129,0.00762231584213481,1.006733851849716,1.0054749581380344,1.0134219927729498,-0.008429479716228983,49.58665609213036,173.10443426196287,169.42412548065187,165.74381669934087,168.85750089372908,2.099039200318904,170.02678653172083,1.921142527102561,168.66293708261426,168.9691570811642,-1.2657655884498258,-0.5593915855880897,12837500,1.5972823320073057,1.2480095038293355,163580700.0,-51.62364516247886,95.95456447167889,96.5727530047212,42.16645803264231,37.6602551103497,19.039768224723247,0.21375648879969245,2.7482362599558714,173.47563885498047,171.72217965698243,170.30500030517578,168.88782095336913,167.1343617553711,0.02,0.0,166.28986149364084,0.006270452734976839,-0.0011155505572768604,166.99092320033483,168.15023149762834,1.8058762904148837
